event_id,video_id,t_start,t_end,duration,event_type_majority,involved_object_majority,num_supporting_anchors,supporting_anchor_ids,mean_confidence_proxy,all_boundary_statuses,complete_event_visible_all,evidence_summary,label_source,oracle_version,event_type
realcartest_event_0000,realcartest,10.0,100.7,90.7,enter_ego_path,pedestrian,10,center10_anchor_0001|center10_anchor_0002|center10_anchor_0003|center10_anchor_0004|center10_anchor_0005|center10_anchor_0006|center10_anchor_0007|center10_anchor_0008|center10_anchor_0009|center10_anchor_0010,high,ok,True,一名行人从画面左侧人行道边缘开始横穿马路，进入车辆前方的行车路径，其轨迹与车辆未来行驶路径发生重叠，构成潜在冲突。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,long_interval
realcartest_event_0001,realcartest,160.0,160.7,0.6999999999999886,enter_ego_path,vehicle,1,center10_anchor_0016,high,ok,True,一辆黑色三轮车从右侧路边突然驶入行车道，进入 ego 车辆前方的行驶路径，与 ego 车辆形成潜在冲突，且该车辆初始位于 ego 路径之外，随后进入并占据部分车道。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0002,realcartest,260.5,260.7,0.19999999999998863,enter_ego_path,cyclist,1,center10_anchor_0026,high,ok,True,一名骑电动车的骑行者从右侧人行道区域进入行车道，向左横穿进入 ego 车辆的未来行驶路径，位于右侧车道，与 ego 车辆路径形成潜在冲突。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0003,realcartest,280.5,281.0,0.5,enter_ego_path,vehicle,1,center10_anchor_0028,high,ok,True,一辆蓝白相间的出租车从右侧车道切入至 ego 车辆前方车道，进入 ego 车辆的未来行驶路径，造成潜在空间冲突。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0004,realcartest,500.0,500.7,0.6999999999999886,enter_ego_path,vehicle,1,center10_anchor_0050,high,ok,True,一辆黑色轿车从右侧车道切入至 ego 车辆前方，进入其未来行驶路径，造成潜在空间冲突。该车初始位于 ego 车辆右侧相邻车道，随后向左变道并进入 ego 车辆正前方路径，轨迹明显侵入 ego 车辆行驶走廊。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0005,realcartest,530.5,530.7,0.20000000000004547,enter_ego_path,vehicle,1,center10_anchor_0053,high,ok,True,一辆白色轿车从右侧车道切入至 ego 车辆前方车道，起始位置在 ego 车辆右侧边界外，随后进入 ego 车辆的行驶路径，形成潜在冲突。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0006,realcartest,550.0,580.7,30.700000000000045,enter_ego_path,vehicle,4,center10_anchor_0055|center10_anchor_0056|center10_anchor_0057|center10_anchor_0058,high,ok,True,一辆白色轿车从右侧车道切入至 ego 车辆前方，进入其未来行驶路径，形成潜在冲突。该车初始位于 ego 车辆右侧，随后向左变道并进入 ego 车辆正前方车道，轨迹明显侵入 ego 路径。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,long_interval
realcartest_event_0007,realcartest,700.0,700.7,0.7000000000000455,enter_ego_path,vehicle,1,center10_anchor_0070,high,ok,True,一辆白色轿车从右侧车道切入至 ego 车辆前方，进入 ego 车辆的行驶路径，形成潜在冲突。该车在 0.0 秒时位于右侧车道外，0.7 秒时已进入 ego 车辆前方车道，轨迹明显切入。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
realcartest_event_0008,realcartest,730.0,740.7,10.700000000000045,enter_ego_path,vehicle,2,center10_anchor_0073|center10_anchor_0074,high,ok,True,一辆白色警车从右侧车道快速切入，进入 ego 车辆前方的行车路径，与 ego 车辆形成潜在空间冲突，且该车辆在视频开始时位于 ego 车辆右侧车道外，随后进入 ego 车辆前方路径。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,long_interval
realcartest_event_0009,realcartest,760.0,760.7,0.7000000000000455,enter_ego_path,vehicle,1,center10_anchor_0076,high,ok,True,一辆白色皮卡车从右侧车道向左变道，切入到 ego 车辆前方的行车路径中，形成潜在冲突。车辆初始位于 ego 车辆右侧车道外，随后横向移动进入 ego 车辆前方路径，且距离较近，需引起注意。,VLM_ORACLE_RELATIVE,qwen3_vl_32b_v13_6_prompt,point_anchor
