run_id,task_id,method,deadline_name,replicate,verify_call_count,actual_unique_events,visible_candidate_oracle_ceiling,verify_order_regret,oracle_ceiling_candidate_units,calls_before_first_true_positive,first_true_positive_censored,negative_high_score_calls,reference_visibility
exposure_temporal_nms__Y8__V0_Q1__T_high__r00__attempt_001,V0_Q1,exposure_temporal_nms,T_high,0,1,0,1,1,173,1,True,1,evaluator_only
exposure_temporal_nms__Y8__V0_Q1__T_high__r01__attempt_001,V0_Q1,exposure_temporal_nms,T_high,1,1,0,1,1,173,1,True,1,evaluator_only
exposure_temporal_nms__Y8__V0_Q1__T_high__r02__attempt_001,V0_Q1,exposure_temporal_nms,T_high,2,1,0,1,1,173,1,True,1,evaluator_only
exposure_temporal_nms__Y8__V0_Q1__T_transition__r00__attempt_001,V0_Q1,exposure_temporal_nms,T_transition,0,1,0,1,1,173,1,True,1,evaluator_only
exposure_temporal_nms__Y8__V0_Q1__T_transition__r01__attempt_001,V0_Q1,exposure_temporal_nms,T_transition,1,1,0,1,1,173,1,True,1,evaluator_only
exposure_temporal_nms__Y8__V0_Q1__T_transition__r02__attempt_001,V0_Q1,exposure_temporal_nms,T_transition,2,1,0,1,1,173,1,True,1,evaluator_only
exposure_temporal_nms__Y8__V0_Q2__T_high__r00__attempt_001,V0_Q2,exposure_temporal_nms,T_high,0,1,1,1,0,173,0,False,0,evaluator_only
exposure_temporal_nms__Y8__V0_Q2__T_high__r01__attempt_001,V0_Q2,exposure_temporal_nms,T_high,1,1,1,1,0,173,0,False,0,evaluator_only
exposure_temporal_nms__Y8__V0_Q2__T_high__r02__attempt_001,V0_Q2,exposure_temporal_nms,T_high,2,1,1,1,0,173,0,False,0,evaluator_only
exposure_temporal_nms__Y8__V0_Q2__T_transition__r00__attempt_001,V0_Q2,exposure_temporal_nms,T_transition,0,1,1,1,0,173,0,False,0,evaluator_only
exposure_temporal_nms__Y8__V0_Q2__T_transition__r01__attempt_001,V0_Q2,exposure_temporal_nms,T_transition,1,1,1,1,0,173,0,False,0,evaluator_only
exposure_temporal_nms__Y8__V0_Q2__T_transition__r02__attempt_001,V0_Q2,exposure_temporal_nms,T_transition,2,1,1,1,0,173,0,False,0,evaluator_only
exposure_temporal_nms__Y8__V1_Q1__T_high__r00__attempt_001,V1_Q1,exposure_temporal_nms,T_high,0,4,0,0,0,,4,True,0,evaluator_only
exposure_temporal_nms__Y8__V1_Q1__T_high__r01__attempt_001,V1_Q1,exposure_temporal_nms,T_high,1,4,0,0,0,,4,True,0,evaluator_only
exposure_temporal_nms__Y8__V1_Q1__T_high__r02__attempt_001,V1_Q1,exposure_temporal_nms,T_high,2,4,0,0,0,,4,True,0,evaluator_only
exposure_temporal_nms__Y8__V1_Q1__T_transition__r00__attempt_001,V1_Q1,exposure_temporal_nms,T_transition,0,4,0,0,0,,4,True,0,evaluator_only
exposure_temporal_nms__Y8__V1_Q1__T_transition__r01__attempt_001,V1_Q1,exposure_temporal_nms,T_transition,1,4,0,0,0,,4,True,0,evaluator_only
