path,exists,rows,columns
outputs/late_aqp_frozen_cross_segment_v1/grid_realcartest_2000_3200.csv,True,120,"bin_id, video_id, t_start, t_end, absolute_t_start, absolute_t_end, label, event_id, boundary_start, boundary_end, prior_score_max, prior_score_mean, num_sub_units, original_granularity, granularity_source_tag, is_positive, bin_idx, local_t_start ..."
outputs/late_aqp_frozen_cross_segment_v1/ref_events_realcartest_2000_3200.csv,True,20,"event_id, video_id, t_start, t_end, absolute_t_start, absolute_t_end, duration, event_type, involved_object, num_supporting_anchors, supporting_anchor_ids, label_source, oracle_version"
src/garc_eval/outputs/clean_interval_aqp_full_reference_v2_label_aligned/base_units.csv,True,600,"unit_id, video_id, t_start, t_end, absolute_t_start, absolute_t_end, duration"
src/garc_eval/outputs/clean_interval_aqp_full_reference_v2_label_aligned/cheap_signals_per_unit.csv,True,600,"unit_id, t_start, t_end, absolute_t_start, absolute_t_end, num_sampled_frames, yolo_vehicle_count, person_count, bbox_area_mean, bbox_area_max, bbox_center_x, bbox_center_y, bbox_size_change, track_speed, track_acceleration, relative_motion_score, motion_energy, optical_flow_burst ..."
src/garc_eval/outputs/clean_interval_aqp_full_reference_v2_label_aligned/full_reference_units.csv,True,600,"unit_id, t_start, t_end, label_event, event_type, event_id, boundary_start, boundary_end, label_source, confidence, notes"
src/garc_eval/outputs/clean_interval_aqp_full_reference_v2_label_aligned/reference_events.csv,True,20,"event_id, video_id, t_start, t_end, absolute_t_start, absolute_t_end, duration, event_type, involved_object, num_supporting_anchors, supporting_anchor_ids, label_source, oracle_version"
src/garc_eval/outputs/event_native_aqp_p1_dataset3_semantic_pilot_v1/metadata/center10_proxy_features.csv,True,347,"anchor_id, video_id, anchor_time, start_time, end_time, duration, source_video_path, construction_policy, num_overlapping_5s_clips, yolo_vehicle_mean, yolo_vehicle_max, yolo_vehicle_sum, object_count_mean, object_count_max, bbox_area_sum_mean, bbox_area_sum_max, max_bbox_area_mean, max_bbox_area_max ..."
src/garc_eval/outputs/event_native_aqp_autonomous_research_sprint_v1/oracle_outputs/dataset3_full_center10_parsed.csv,True,347,"anchor_id, video_id, anchor_time, start_time, end_time, duration, label, event_start, event_end, event_start_absolute, event_end_absolute, event_type, involved_object, ego_relevant, boundary_status, complete_event_visible, confidence, evidence ..."
outputs/late_aqp_low_budget_fix_v1/new_labels/center10_full_oracle_labels_realcartest_5k.csv,True,21,"anchor_id, video_id, anchor_time, start_time, end_time, duration, label, event_start, event_end, event_start_absolute, event_end_absolute, event_type, involved_object, ego_relevant, boundary_status, complete_event_visible, confidence, evidence ..."
outputs/late_aqp_low_budget_fix_v1/new_labels/center10_vlm_oracle_events_realcartest_5k.csv,True,3,"event_id, video_id, event_start, event_end, event_duration, event_type_majority, involved_object_majority, num_supporting_anchors, supporting_anchor_ids, mean_confidence_proxy, all_boundary_statuses, complete_event_visible_all, evidence_summary, label_source, oracle_version"
