experiment_dir,dataset,budget,split_description,random_or_uniform_fraction,targeted_or_disagreement_fraction,baseline_R_lower,method_R_lower,R_lower_gap,is_positive_gap,source_file,note
strategy7_certificate_power_v1,dataset3_clean_pool,20,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.111012,0.108885,-0.002128,FALSE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,Small negative gap at B=20
strategy7_certificate_power_v1,dataset3_clean_pool,30,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.167928,0.163839,-0.004089,FALSE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,Small negative gap at B=30
strategy7_certificate_power_v1,dataset3_clean_pool,40,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.251661,0.261822,+0.010161,TRUE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,"S7 improves R_lower at B=40 on dataset3"
strategy7_certificate_power_v1,dataset3_clean_pool,60,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.428840,0.454430,+0.025589,TRUE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,"S7 improves R_lower at B=60 on dataset3"
strategy7_certificate_power_v1,dataset3_clean_pool,80,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.682619,0.711048,+0.028429,TRUE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,"S7 improves R_lower at B=80 on dataset3"
strategy7_certificate_power_v1,realcartest_v13,20,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.052033,0.037319,-0.014714,FALSE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,Realcartest negative gap at all budgets
strategy7_certificate_power_v1,realcartest_v13,40,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.129799,0.095263,-0.034536,FALSE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,"Test: certificate tradeoff - S7 recovers more L3-missed but R_lower is worse"
strategy7_certificate_power_v1,realcartest_v13,60,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.204758,0.153030,-0.051728,FALSE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,"Strongest negative gap at B=60 on realcartest; S7 R_lower worse by -0.052"
strategy7_certificate_power_v1,realcartest_v13,80,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.272534,0.222619,-0.049915,FALSE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,R_lower gap remains negative
strategy7_certificate_power_v1,realcartest_v13,150,"70% L3, 20% S7, 10% uniform",0.10,0.20,0.498437,0.443140,-0.055298,FALSE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,"At B=150, max R_lower is 0.443 for S7 vs 0.498 for L3"
strategy7_budget_split_sweep_v1,dataset3_clean_pool,60,"50% L3, 30% S7, 20% uniform",0.20,0.30,0.111229,0.536806,+0.425578,TRUE,src/garc_eval/outputs/strategy7_budget_split_sweep_v1/reports/STRATEGY7_BUDGET_SPLIT_SWEEP_REPORT.md,"Pareto front: L350_S730_U20 balances recovery and certificate"
strategy7_budget_split_sweep_v1,realcartest_v13,60,"50% L3, 10% S7, 40% uniform",0.40,0.10,0.111229,0.189370,+0.078141,TRUE,src/garc_eval/outputs/strategy7_budget_split_sweep_v1/reports/STRATEGY7_BUDGET_SPLIT_SWEEP_REPORT.md,"More uniform audit mass preserves R_lower at cost of less recovery"
strategy7_budget_split_sweep_v1,realcartest_v13,60,"50% L3, 30% S7, 20% uniform",0.20,0.30,0.111229,0.175056,+0.063827,TRUE,src/garc_eval/outputs/strategy7_budget_split_sweep_v1/reports/STRATEGY7_BUDGET_SPLIT_SWEEP_REPORT.md,"Pareto front example: S7_frac=0.30 still positive R_lower gap"
strategy7_budget_split_sweep_v1,realcartest_v13,60,"50% L3, 0% S7, 50% uniform",0.50,0.00,0.111229,0.194432,+0.083203,TRUE,src/garc_eval/outputs/strategy7_budget_split_sweep_v1/reports/STRATEGY7_BUDGET_SPLIT_SWEEP_REPORT.md,"Pure uniform has highest R_lower but lowest L3-missed recovery"
strategy7_certificate_power_v1,realcartest_v13,all,Strategy7_certificate,L3_uniform_certificate,max_gamma_0.5_rate,,,,,0.138 vs 0.420 (worse),FALSE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,"S7 has lower gamma=0.5 certificate rate than L3+uniform"
strategy7_certificate_power_v1,dataset3_clean_pool,all,Strategy7_certificate,L3_uniform_certificate,max_gamma_0.5_rate,,,,,1.0 vs 1.0 (same),TRUE,src/garc_eval/outputs/strategy7_certificate_power_v1/reports/STRATEGY7_CERTIFICATE_POWER_REPORT.md,"On dataset3 (N=100), both policies achieve gamma=0.5 by B=80"
