call_idx,unit_id,oracle_label_after_query,outcome_is_determinate,verified_positive,propagated_unit_count,proxy_score,selection_reason,oracle_accessed_only_after_selection
0,0,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
1,1,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
2,2,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
3,3,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
4,5,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
5,6,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
6,7,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
7,8,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
8,10,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
9,18,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
10,50,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
11,51,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
12,69,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
13,74,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
14,79,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
15,80,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
16,83,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
17,84,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
18,99,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
19,100,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
20,101,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
21,107,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
22,108,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
23,109,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
24,110,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
25,111,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
26,113,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
27,114,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
28,115,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
29,116,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
30,118,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
31,119,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
32,120,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
33,121,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
34,123,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
35,125,positive,True,True,0,1.0,sealed_label_blind_pstr_5_to_4,True
36,126,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
37,144,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
38,145,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
39,155,negative,True,False,0,1.0,sealed_label_blind_pstr_5_to_4,True
40,103,negative,True,False,0,0.983543,sealed_label_blind_pstr_5_to_4,True
41,147,negative,True,False,0,0.972969,sealed_label_blind_pstr_5_to_4,True
42,75,negative,True,False,0,0.972619,sealed_label_blind_pstr_5_to_4,True
43,52,negative,True,False,0,0.956513,sealed_label_blind_pstr_5_to_4,True
44,70,positive,True,True,0,0.955252,sealed_label_blind_pstr_5_to_4,True
45,104,negative,True,False,0,0.95084,sealed_label_blind_pstr_5_to_4,True
46,105,positive,True,True,0,0.95084,sealed_label_blind_pstr_5_to_4,True
47,58,positive,True,True,0,0.942017,sealed_label_blind_pstr_5_to_4,True
48,73,positive,True,True,0,0.926821,sealed_label_blind_pstr_5_to_4,True
49,59,negative,True,False,0,0.92381,sealed_label_blind_pstr_5_to_4,True
50,44,negative,True,False,0,0.921359,sealed_label_blind_pstr_5_to_4,True
51,45,negative,True,False,0,0.921359,sealed_label_blind_pstr_5_to_4,True
52,151,negative,True,False,0,0.916246,sealed_label_blind_pstr_5_to_4,True
53,54,negative,True,False,0,0.915546,sealed_label_blind_pstr_5_to_4,True
54,76,positive,True,True,0,0.910504,sealed_label_blind_pstr_5_to_4,True
55,40,negative,True,False,0,0.903011,sealed_label_blind_pstr_5_to_4,True
56,46,negative,True,False,0,0.877941,sealed_label_blind_pstr_5_to_4,True
57,148,negative,True,False,0,0.87598,sealed_label_blind_pstr_5_to_4,True
58,37,negative,True,False,0,0.867787,sealed_label_blind_pstr_5_to_4,True
59,38,negative,True,False,0,0.867787,sealed_label_blind_pstr_5_to_4,True
60,149,negative,True,False,0,0.861555,sealed_label_blind_pstr_5_to_4,True
61,150,positive,True,True,0,0.84951,sealed_label_blind_pstr_5_to_4,True
62,55,positive,True,True,0,0.846359,sealed_label_blind_pstr_5_to_4,True
63,124,negative,True,False,0,0.838585,sealed_label_blind_pstr_5_to_4,True
64,47,negative,True,False,0,0.831933,sealed_label_blind_pstr_5_to_4,True
65,96,negative,True,False,0,0.829902,sealed_label_blind_pstr_5_to_4,True
66,63,negative,True,False,0,0.817157,sealed_label_blind_pstr_5_to_4,True
67,89,negative,True,False,0,0.814076,sealed_label_blind_pstr_5_to_4,True
68,90,negative,True,False,0,0.814076,sealed_label_blind_pstr_5_to_4,True
69,42,negative,True,False,0,0.80042,sealed_label_blind_pstr_5_to_4,True
70,98,positive,True,True,0,0.76928,sealed_label_blind_pstr_5_to_4,True
71,77,negative,True,False,0,0.765616,sealed_label_blind_pstr_5_to_4,True
72,41,negative,True,False,0,0.758894,sealed_label_blind_pstr_5_to_4,True
73,48,negative,True,False,0,0.754482,sealed_label_blind_pstr_5_to_4,True
74,36,negative,True,False,0,0.747479,sealed_label_blind_pstr_5_to_4,True
75,71,negative,True,False,0,0.739846,sealed_label_blind_pstr_5_to_4,True
76,56,positive,True,True,0,0.738585,sealed_label_blind_pstr_5_to_4,True
77,35,negative,True,False,0,0.671289,sealed_label_blind_pstr_5_to_4,True
78,60,negative,True,False,0,0.656215,sealed_label_blind_pstr_5_to_4,True
79,94,negative,True,False,0,0.65049,sealed_label_blind_pstr_5_to_4,True
80,153,negative,True,False,0,0.636555,sealed_label_blind_pstr_5_to_4,True
81,33,negative,True,False,0,0.636064,sealed_label_blind_pstr_5_to_4,True
82,137,negative,True,False,0,0.635854,sealed_label_blind_pstr_5_to_4,True
83,138,negative,True,False,0,0.635854,sealed_label_blind_pstr_5_to_4,True
84,81,negative,True,False,0,0.630252,sealed_label_blind_pstr_5_to_4,True
85,95,negative,True,False,0,0.622759,sealed_label_blind_pstr_5_to_4,True
86,141,negative,True,False,0,0.617087,sealed_label_blind_pstr_5_to_4,True
87,22,negative,True,False,0,0.611345,sealed_label_blind_pstr_5_to_4,True
88,23,negative,True,False,0,0.611345,sealed_label_blind_pstr_5_to_4,True
89,92,positive,True,True,0,0.607003,sealed_label_blind_pstr_5_to_4,True
90,64,negative,True,False,0,0.603221,sealed_label_blind_pstr_5_to_4,True
91,91,negative,True,False,0,0.582866,sealed_label_blind_pstr_5_to_4,True
92,11,negative,True,False,0,0.581723,sealed_label_blind_pstr_5_to_4,True
93,85,positive,True,True,0,0.574576,sealed_label_blind_pstr_5_to_4,True
94,32,negative,True,False,0,0.572479,sealed_label_blind_pstr_5_to_4,True
95,12,negative,True,False,0,0.566842,sealed_label_blind_pstr_5_to_4,True
96,29,negative,True,False,0,0.561134,sealed_label_blind_pstr_5_to_4,True
97,31,negative,True,False,0,0.561064,sealed_label_blind_pstr_5_to_4,True
98,128,negative,True,False,0,0.55084,sealed_label_blind_pstr_5_to_4,True
99,66,negative,True,False,0,0.543908,sealed_label_blind_pstr_5_to_4,True
